Number,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016
1,ABARTH,ABARTH 124,2_1,0,19,27,60,0
2,ABARTH,ABARTH 500,2_2,0,0,1,2,66
3,ABARTH,ABARTH 595,2_4,2144,2866,3907,3295,3132
4,ABARTH,ABARTH 695,2_6,45,65,270,114,29
5,ABARTH,ABARTH PUNTO,2_9,0,0,0,0,0
6,ABARTH,ABARTH SPIDER,2_1,0,223,777,409,176
7,ACURA,ACURA TL,100_1,0,0,0,0,0
8,AIXAM,AIXAM 500,3_3,0,0,0,0,0
9,AIXAM,AIXAM A751,3_4,0,0,0,0,0
10,AIXAM,AIXAM COUPE,3_5,0,0,0,0,3
11,AIXAM,AIXAM CROSSLINE,3_1,0,0,0,6,15
12,AIXAM,AIXAM CROSSOVER,3_6,0,2,32,51,50
13,AIXAM,AIXAM MEGA,3_7,0,0,0,0,0
14,AIXAM,AIXAM SCOUTY,3_8,0,0,0,0,0
15,ALFA ROMEO,ALFA ROMEO 147,4_1,0,0,0,0,0
16,ALFA ROMEO,ALFA ROMEO 156,4_2,0,0,0,0,0
17,ALFA ROMEO,ALFA ROMEO 159,4_4,0,3,0,0,0
18,ALFA ROMEO,ALFA ROMEO 166,4_6,0,0,0,0,0
19,ALFA ROMEO,ALFA ROMEO 4C,4_7,0,2,13,106,116
20,ALFA ROMEO,ALFA ROMEO 8C,4_8,0,0,0,0,0
21,ALFA ROMEO,ALFA ROMEO BRERA,4_9,0,0,0,0,0
22,ALFA ROMEO,ALFA ROMEO GIULIA,4_10,676,1392,1427,1849,159
23,ALFA ROMEO,ALFA ROMEO GIULIETTA,4_11,524,564,834,1486,2763
24,ALFA ROMEO,ALFA ROMEO GT,4_12,0,0,0,0,0
25,ALFA ROMEO,ALFA ROMEO GTV,4_13,0,0,0,0,0
26,ALFA ROMEO,ALFA ROMEO MITO,4_14,0,36,378,706,1444
27,ALFA ROMEO,ALFA ROMEO SPIDER,4_15,0,0,0,0,0
28,ALFA ROMEO,ALFA ROMEO STELVIO,4_16,679,1159,1023,203,0
29,ALPINE,ALPINE A110,101_1,102,149,108,0,0
30,ASTON MARTIN,ASTON MARTIN CYGNET,6_1,0,0,0,0,0
31,ASTON MARTIN,ASTON MARTIN DB11,6_2,150,326,404,667,98
32,ASTON MARTIN,ASTON MARTIN DB5,6_12,0,0,0,0,0
33,ASTON MARTIN,ASTON MARTIN DB7,6_3,0,0,0,0,0
34,ASTON MARTIN,ASTON MARTIN DB9,6_4,0,0,0,28,140
35,ASTON MARTIN,ASTON MARTIN DB9O,6_4,0,0,0,0,11
36,ASTON MARTIN,ASTON MARTIN DBS,6_5,202,287,52,0,0
37,ASTON MARTIN,ASTON MARTIN RAPIDE,6_6,15,38,35,48,46
38,ASTON MARTIN,ASTON MARTIN VANQUISH,6_8,0,37,140,181,134
39,ASTON MARTIN,ASTON MARTIN VANTAGE,6_9,191,688,421,243,334
40,ASTON MARTIN,ASTON MARTIN VIRAGE,6_10,0,0,0,0,0
41,AUDI,AUDI A1,7_1,13292,19976,19038,21212,24047
42,AUDI,AUDI A2,7_2,0,1,0,0,0
43,AUDI,AUDI A3,7_3,15079,17396,22958,27935,34335
44,AUDI,AUDI A4,7_5,8903,13013,12026,19667,23312
45,AUDI,AUDI A5,7_9,5155,9572,9063,10868,7766
46,AUDI,AUDI A6,7_11,4069,9843,8392,8973,13552
47,AUDI,AUDI A7,7_15,729,1572,1417,1489,2262
48,AUDI,AUDI A8,7_16,404,758,928,572,707
49,AUDI,AUDI ALLROAD,7_17,0,0,0,0,0
50,AUDI,AUDI E-TRON,7_51,5858,1029,0,0,0
51,AUDI,AUDI Q2,7_18,14817,15487,14253,11645,648
52,AUDI,AUDI Q3,7_19,12674,13987,12550,15598,16640
